Fichier,Ligne,Code Erreur,Description,Catégorie
client/src/components/Map.tsx,89,TS2339,Property 'env' does not exist on type 'ImportMeta',Configuration
client/src/components/Map.tsx,91,TS2339,Property 'env' does not exist on type 'ImportMeta',Configuration
client/src/const.ts,5,TS2339,Property 'env' does not exist on type 'ImportMeta',Configuration
client/src/const.ts,6,TS2339,Property 'env' does not exist on type 'ImportMeta',Configuration
client/src/lib/trpc.ts,132,TS2345,Argument of type '{ url: string; headers: () => Record<string, string>; }' is not assignable to parameter of type 'HTTPBatchLinkOptions',Configuration
client/src/pages/Workouts.tsx,235,TS2345,Argument of type is not assignable to parameter of type 'WorkoutSession',Types de données
server/_core/env.ts,42,TS2339,Property 'errors' does not exist on type 'ZodError<unknown>',Types Zod
server/_core/errorHandler.ts,61,TS2339,Property 'errors' does not exist on type 'ZodError<unknown>',Types Zod
server/_core/errorHandler.ts,62,TS2503,Cannot find namespace 'z',Diverses
server/_core/errorHandler.ts,239,TS2352,Conversion of type 'object & Record<"errors", unknown>' to type 'ZodError<unknown>' may be a mistake,Types Zod
server/_core/errorHandler.ts,239,TS2339,Property 'errors' does not exist on type 'ZodError<unknown>',Types Zod
server/_core/examples/rbac-examples.ts,14,TS2305,Module '"../../db"' has no exported member 'db',Diverses
server/_core/examples/rbac-examples.ts,15,TS2305,Module '"../../../drizzle/schema"' has no exported member 'sessions',Diverses
server/_core/examples/rbac-examples.ts,52,TS7031,Binding element 'eq' implicitly has an 'any' type,Diverses
server/_core/examples/rbac-examples.ts,76,TS18047,'ctx.user' is possibly 'null',Nullité
server/_core/examples/rbac-examples.ts,100,TS18047,'ctx.user' is possibly 'null',Nullité
server/_core/examples/rbac-examples.ts,110,TS18047,'ctx.user' is possibly 'null',Nullité
server/_core/examples/rbac-examples.ts,114,TS2339,Property 'userId' does not exist on type 'MySqlTableWithColumns',Types de données
server/_core/examples/rbac-examples.ts,147,TS2339,Property 'userId' does not exist on type 'MySqlTableWithColumns',Types de données
server/_core/examples/rbac-examples.ts,147,TS18047,'ctx.user' is possibly 'null',Nullité
server/_core/examples/rbac-examples.ts,171,TS18047,'ctx.user' is possibly 'null',Nullité
server/_core/examples/rbac-examples.ts,202,TS18047,'ctx.user' is possibly 'null',Nullité
